10/22/2018												
4:51 PM												
aGe-noise_2018.10.22_COND_450to300.txt												
												
Data taken by: Brenda												
Ammeter is Keithley 485 at GPIB11::22::INSTR												
Temperature Controller is Lake Shore 331 at GPIB11::12::INSTR with the settings: control sensor=B;sample sensor=B;loop=1												
Readings: 5												
Voltage (V): 88.3												
Geo Factor: 25000												
Ea Window (pts): 3												
Shut off V when done?: TRUE												
Mconnect?: FALSE												
Use Abs(Cond)?: FALSE												
Rate (K/min): 1												
Heater: High												
description for header												
********************
Time (s)	Temperature Control (K)	1/kT Control (1/eV)	Rate Control (K/min)	Temperature Sample (K)	1/kT Sample (1/eV)	Rate Sample (K/min)	Current (A)	Current Std Dev/Mean	Conductivity (Ohm-cm)^-1	Ea (eV)	Reduced Ea
1.060000E+0	4.500000E+2	2.576444E+1	-1.935427E-1	4.500000E+2	2.576444E+1	-2.111375E-1	7.541400E-6	7.262876E-5	2.135164E-3	NaN	NaN
3.516100E+1	4.498900E+2	2.577074E+1	-7.366071E-1	4.498800E+2	2.577132E+1	-7.366071E-1	7.497800E-6	5.284647E-4	2.122820E-3	7.378651E-1	1.901563E+1
4.412100E+1	4.497800E+2	2.577705E+1	-8.795309E-1	4.497700E+2	2.577762E+1	-8.795309E-1	7.468600E-6	5.727780E-4	2.114553E-3	6.372163E-1	1.642590E+1
5.162500E+1	4.496700E+2	2.578335E+1	-1.077780E+0	4.496600E+2	2.578393E+1	-1.077780E+0	7.437800E-6	6.815882E-4	2.105832E-3	6.365595E-1	1.641281E+1
5.719200E+1	4.495700E+2	2.578909E+1	-1.047852E+0	4.495600E+2	2.578966E+1	-1.152637E+0	7.411600E-6	7.049679E-4	2.098414E-3	5.978391E-1	1.541829E+1
6.291800E+1	4.494700E+2	2.579483E+1	-1.144553E+0	4.494500E+2	2.579597E+1	-1.144553E+0	7.384400E-6	7.755713E-4	2.090713E-3	6.008606E-1	1.549936E+1
6.763600E+1	4.493800E+2	2.579999E+1	-1.414838E+0	4.493600E+2	2.580114E+1	-1.414838E+0	7.360600E-6	8.185404E-4	2.083975E-3	5.765675E-1	1.487691E+1
7.314900E+1	4.492500E+2	2.580746E+1	-1.311834E+0	4.492300E+2	2.580861E+1	-1.147855E+0	7.330600E-6	8.442282E-4	2.075481E-3	5.832908E-1	1.505273E+1
7.680800E+1	4.491700E+2	2.581205E+1	-1.452465E+0	4.491600E+2	2.581263E+1	-1.452465E+0	7.311000E-6	8.650739E-4	2.069932E-3	5.996238E-1	1.547870E+1
8.135200E+1	4.490600E+2	2.581838E+1	-1.253395E+0	4.490500E+2	2.581895E+1	-1.378734E+0	7.285000E-6	9.156942E-4	2.062571E-3	5.730125E-1	1.479458E+1
8.613900E+1	4.489600E+2	2.582413E+1	-2.421959E+0	4.489400E+2	2.582528E+1	-1.453175E+0	7.258200E-6	9.415199E-4	2.054983E-3	5.818524E-1	1.502611E+1
8.985500E+1	4.488100E+2	2.583276E+1	-7.194245E-1	4.488500E+2	2.583046E+1	-1.558753E+0	7.236400E-6	1.008884E-3	2.048811E-3	5.488275E-1	1.417722E+1
9.485900E+1	4.487500E+2	2.583621E+1	-1.431601E+0	4.487200E+2	2.583794E+1	-1.431601E+0	7.207800E-6	9.878733E-4	2.040713E-3	5.420055E-1	1.400356E+1
9.863100E+1	4.486600E+2	2.584139E+1	-1.673640E+0	4.486300E+2	2.584312E+1	-1.338912E+0	7.186800E-6	8.822212E-4	2.034768E-3	5.960864E-1	1.540450E+1
1.022160E+2	4.485600E+2	2.584716E+1	-1.503383E+0	4.485500E+2	2.584773E+1	-1.653721E+0	7.165800E-6	1.060042E-3	2.028822E-3	5.389181E-1	1.393042E+1
1.062070E+2	4.484600E+2	2.585292E+1	-1.428262E+0	4.484400E+2	2.585407E+1	-1.558104E+0	7.144200E-6	8.421718E-4	2.022707E-3	4.922324E-1	1.272636E+1
1.108280E+2	4.483500E+2	2.585926E+1	-1.592357E+0	4.483200E+2	2.586099E+1	-1.433121E+0	7.119200E-6	9.124835E-4	2.015629E-3	5.274409E-1	1.363959E+1
1.145960E+2	4.482500E+2	2.586503E+1	-1.407349E+0	4.482300E+2	2.586618E+1	-1.407349E+0	7.098600E-6	9.840954E-4	2.009796E-3	5.560350E-1	1.438251E+1
1.184330E+2	4.481600E+2	2.587022E+1	-1.379310E+0	4.481400E+2	2.587138E+1	-1.379310E+0	7.078200E-6	9.177690E-4	2.004020E-3	5.481364E-1	1.418142E+1
1.232180E+2	4.480500E+2	2.587658E+1	-1.556645E+0	4.480300E+2	2.587773E+1	-1.556645E+0	7.053800E-6	8.106824E-4	1.997112E-3	5.328499E-1	1.378860E+1
1.266870E+2	4.479600E+2	2.588178E+1	-1.250260E+0	4.479400E+2	2.588293E+1	-1.250260E+0	7.034800E-6	8.552686E-4	1.991733E-3	5.575856E-1	1.443210E+1
1.314860E+2	4.478600E+2	2.588755E+1	-1.442308E+0	4.478400E+2	2.588871E+1	-1.442308E+0	7.010800E-6	8.581964E-4	1.984938E-3	5.460592E-1	1.413663E+1
1.352300E+2	4.477700E+2	2.589276E+1	-1.420577E+0	4.477500E+2	2.589391E+1	-1.291433E+0	6.992800E-6	8.604055E-4	1.979841E-3	5.238253E-1	1.356404E+1
1.398760E+2	4.476600E+2	2.589912E+1	-1.178782E+0	4.476500E+2	2.589970E+1	-1.440733E+0	6.970600E-6	7.495682E-4	1.973556E-3	5.190425E-1	1.344325E+1
1.444570E+2	4.475700E+2	2.590433E+1	-1.390938E+0	4.475400E+2	2.590606E+1	-1.138040E+0	6.948800E-6	7.973691E-4	1.967384E-3	5.353713E-1	1.386896E+1
1.492020E+2	4.474600E+2	2.591070E+1	-1.237369E+0	4.474500E+2	2.591128E+1	-1.237369E+0	6.927400E-6	8.011339E-4	1.961325E-3	5.556640E-1	1.439819E+1
1.540510E+2	4.473600E+2	2.591649E+1	-1.142132E+0	4.473500E+2	2.591707E+1	-1.142132E+0	6.906400E-6	7.565360E-4	1.955379E-3	5.260596E-1	1.363374E+1
1.587790E+2	4.472700E+2	2.592170E+1	-1.207023E+0	4.472600E+2	2.592228E+1	-1.207023E+0	6.887400E-6	6.460666E-4	1.950000E-3	5.157946E-1	1.337093E+1
1.642470E+2	4.471600E+2	2.592808E+1	-1.029689E+0	4.471500E+2	2.592866E+1	-1.029689E+0	6.865200E-6	6.940004E-4	1.943715E-3	5.189102E-1	1.345446E+1
1.700740E+2	4.470600E+2	2.593388E+1	-9.819967E-1	4.470500E+2	2.593446E+1	-1.091107E+0	6.844000E-6	6.024409E-4	1.937712E-3	5.213244E-1	1.352027E+1
1.755730E+2	4.469700E+2	2.593910E+1	-1.055223E+0	4.469500E+2	2.594026E+1	-9.497010E-1	6.823800E-6	5.806622E-4	1.931993E-3	5.259325E-1	1.364263E+1
1.812590E+2	4.468700E+2	2.594491E+1	-9.528851E-1	4.468600E+2	2.594549E+1	-9.528851E-1	6.804400E-6	5.359645E-4	1.926501E-3	5.315053E-1	1.379017E+1
1.869260E+2	4.467800E+2	2.595013E+1	-8.789921E-1	4.467700E+2	2.595071E+1	-8.789921E-1	6.786000E-6	5.611386E-4	1.921291E-3	5.127037E-1	1.330521E+1
1.937520E+2	4.466800E+2	2.595594E+1	-8.493115E-1	4.466700E+2	2.595652E+1	-8.493115E-1	6.766000E-6	4.673777E-4	1.915629E-3	5.087486E-1	1.320551E+1
2.015230E+2	4.465700E+2	2.596234E+1	-8.334620E-1	4.465600E+2	2.596292E+1	-8.334620E-1	6.744000E-6	4.689024E-4	1.909400E-3	5.148609E-1	1.336694E+1
2.080020E+2	4.464800E+2	2.596757E+1	-7.677543E-1	4.464700E+2	2.596815E+1	-7.677543E-1	6.725600E-6	5.422440E-4	1.904190E-3	5.358232E-1	1.391451E+1
